"title,terr,dist,currency,ended,Box Office Release Date,Weeks in Release,cume_bo,cume_adm"
"American Woman,Italian-Speaking Switzerland,Sony,CHF,Direct to Video,STV,,0,0"
"American Woman,Taiwan,Sony,TWD,Direct to Video,STV,,0,0"
"American Woman,Thailand,Sony,THB,Complete,43657,,0,0"
"American Woman,Turkey,Sony,TRY,Direct to Video,STV,,0,0"
"American Woman,Ukraine,Sony,UAH,Direct to Video,STV,,0,0"
"American Woman,United Arab Emirates,Sony,AED,Direct to Video,STV,,0,0"
"American Woman,United Kingdom,Signature,GPB,Complete,43749,4,10515,0"
"American Woman,United States,Roadside,USD,Complete,43630,5,236637,0"
"American Woman,Uruguay,Sony,UYU,Direct to Video,STV,,0,0"
"American Woman,Venezuela,Sony,VEF,Direct to Video,STV,,0,0"
"American Woman,Vietnam,Sony,VND,Direct to Video,STV,,0,0"
"Assassination Nation,Argentina,Universal,ARS,N/A,STV,,0,0"
"Assassination Nation,Australia,Universal,AUS,N/A,STV,,0,0"
"Assassination Nation,Austria,Universum,EUD,N/A,STV,,0,0"
"Assassination Nation,Bahrain,Universal,BHD,N/A,STV,,0,0"
"Assassination Nation,Belgium,Universal,EUD,N/A,STV,,0,0"
"Assassination Nation,Bolivia,Universal,BOB,N/A,STV,,0,0"
"Assassination Nation,Brazil,Universal,BRL,N/A,STV,,0,0"
"Assassination Nation,Bulgaria,Universal,BGN,N/A,STV,,0,0"
"Assassination Nation,Canada,Elevation,CAD,Undated,TBD,,0,0"
"Assassination Nation,Chile,Universal,CLP,N/A,STV,,0,0"
"Assassination Nation,Colombia,Universal,COP,Complete,43517,2,12414050,1252"
"Assassination Nation,Croatia,Universal,HRK,N/A,STV,,0,0"
"Assassination Nation,Czech Republic,Universal,CZK,Complete,43426,4,432901,2000"
"Assassination Nation,Denmark,Universal,DKK,N/A,STV,,0,0"
"Assassination Nation,Ecuador,Universal,USD,Complete,43518,2,11092,2837"
"Assassination Nation,Egypt,Universal,EGP,N/A,STV,,0,0"
"Assassination Nation,Estonia,Universal,EUD,N/A,STV,,0,0"
"Assassination Nation,Finland,Universal,EUD,N/A,STV,,0,0"
